,0
/tmp/ChessDiagramRecognition-master/datasets/squares/white_square/white_bishop/square4406.jpg,23
/tmp/ChessDiagramRecognition-master/datasets/squares/white_square/white_bishop/square1520.jpg,23
/tmp/ChessDiagramRecognition-master/datasets/squares/white_square/white_bishop/square3323.jpg,23
/tmp/ChessDiagramRecognition-master/datasets/squares/white_square/white_bishop/square5883.jpg,23
/tmp/ChessDiagramRecognition-master/datasets/squares/white_square/white_bishop/square5247.jpg,23
/tmp/ChessDiagramRecognition-master/datasets/squares/white_square/white_bishop/square63.jpg,23
/tmp/ChessDiagramRecognition-master/datasets/squares/white_square/white_bishop/square3455.jpg,23
/tmp/ChessDiagramRecognition-master/datasets/squares/white_square/white_bishop/square1714.jpg,23
/tmp/ChessDiagramRecognition-master/datasets/squares/white_square/white_bishop/square1279.jpg,23
/tmp/ChessDiagramRecognition-master/datasets/squares/white_square/white_bishop/square892.jpg,23
/tmp/ChessDiagramRecognition-master/datasets/squares/white_square/white_bishop/square1207.jpg,23
/tmp/ChessDiagramRecognition-master/datasets/squares/white_square/white_bishop/square4668.jpg,23
/tmp/ChessDiagramRecognition-master/datasets/squares/white_square/white_bishop/square5558.jpg,23
/tmp/ChessDiagramRecognition-master/datasets/squares/white_square/white_bishop/square6262.jpg,23
/tmp/ChessDiagramRecognition-master/datasets/squares/white_square/white_bishop/square1974.jpg,23
/tmp/ChessDiagramRecognition-master/datasets/squares/white_square/white_bishop/square5759.jpg,23
/tmp/ChessDiagramRecognition-master/datasets/squares/white_square/white_bishop/square2749.jpg,23
/tmp/ChessDiagramRecognition-master/datasets/squares/white_square/white_bishop/square756.jpg,23
/tmp/ChessDiagramRecognition-master/datasets/squares/white_square/white_bishop/square4154.jpg,23
/tmp/ChessDiagramRecognition-master/datasets/squares/white_square/white_bishop/square1651.jpg,23
/tmp/ChessDiagramRecognition-master/datasets/squares/white_square/white_bishop/square2553.jpg,23
/tmp/ChessDiagramRecognition-master/datasets/squares/white_square/white_bishop/square2980.jpg,23
/tmp/ChessDiagramRecognition-master/datasets/squares/white_square/white_bishop/square4607.jpg,23
/tmp/ChessDiagramRecognition-master/datasets/squares/white_square/white_bishop/square374.jpg,23
/tmp/ChessDiagramRecognition-master/datasets/squares/white_square/white_bishop/square3765.jpg,23
/tmp/ChessDiagramRecognition-master/datasets/squares/white_square/white_bishop/square5180.jpg,23
/tmp/ChessDiagramRecognition-master/datasets/squares/white_square/white_bishop/square3634.jpg,23
/tmp/ChessDiagramRecognition-master/datasets/squares/white_square/white_bishop/square2667.jpg,23
/tmp/ChessDiagramRecognition-master/datasets/squares/white_square/white_bishop/square4543.jpg,23
/tmp/ChessDiagramRecognition-master/datasets/squares/white_square/white_bishop/square1404.jpg,23
/tmp/ChessDiagramRecognition-master/datasets/squares/white_square/white_bishop/square6386.jpg,23
/tmp/ChessDiagramRecognition-master/datasets/squares/white_square/white_bishop/square308.jpg,23
/tmp/ChessDiagramRecognition-master/datasets/squares/white_square/white_bishop/square5119.jpg,23
/tmp/ChessDiagramRecognition-master/datasets/squares/white_square/white_bishop/square3510.jpg,23
/tmp/ChessDiagramRecognition-master/datasets/squares/white_square/white_bishop/square4091.jpg,23
/tmp/ChessDiagramRecognition-master/datasets/squares/white_square/white_bishop/square4927.jpg,23
/tmp/ChessDiagramRecognition-master/datasets/squares/white_square/white_bishop/square636.jpg,23
/tmp/ChessDiagramRecognition-master/datasets/squares/white_square/white_bishop/square4211.jpg,23
/tmp/ChessDiagramRecognition-master/datasets/squares/white_square/white_bishop/square703.jpg,23
/tmp/ChessDiagramRecognition-master/datasets/squares/white_square/white_bishop/square1138.jpg,23
/tmp/ChessDiagramRecognition-master/datasets/squares/white_square/white_bishop/square2038.jpg,23
/tmp/ChessDiagramRecognition-master/datasets/squares/white_square/white_bishop/square3254.jpg,23
/tmp/ChessDiagramRecognition-master/datasets/squares/white_square/white_bishop/square2431.jpg,23
/tmp/ChessDiagramRecognition-master/datasets/squares/white_square/white_bishop/square182.jpg,23
/tmp/ChessDiagramRecognition-master/datasets/squares/white_square/white_bishop/square1788.jpg,23
/tmp/ChessDiagramRecognition-master/datasets/squares/white_square/white_bishop/square2291.jpg,23
/tmp/ChessDiagramRecognition-master/datasets/squares/white_square/white_bishop/square1595.jpg,23
/tmp/ChessDiagramRecognition-master/datasets/squares/white_square/white_bishop/square2344.jpg,23
/tmp/ChessDiagramRecognition-master/datasets/squares/white_square/white_bishop/square2806.jpg,23
/tmp/ChessDiagramRecognition-master/datasets/squares/white_square/white_bishop/square1906.jpg,23
/tmp/ChessDiagramRecognition-master/datasets/squares/white_square/white_bishop/square1015.jpg,23
/tmp/ChessDiagramRecognition-master/datasets/squares/white_square/white_bishop/square2603.jpg,23
/tmp/ChessDiagramRecognition-master/datasets/squares/white_square/white_bishop/square3062.jpg,23
/tmp/ChessDiagramRecognition-master/datasets/squares/white_square/white_bishop/square5631.jpg,23
